Entry_Number,Description,Classification,Weight_g,Store_Location,Page
Entry-703-416,"2 Muffins pre-roll vanilla bean dream, suspected marihuana 3 THC-O Gummies 2 pack, suspected THC 4 Modus Platnium blend diamond sauce CB9A + THC-P, suspectedTHC 5 Road trip desert stardust mushroom gummies, suspected Psilocybin ***Analysis forCDS and purity***",Edible,,,703
Entry-703-417,"3 THC-O Gummies 2 pack, suspected THC 4 Modus Platnium blend diamond sauce CB9A + THC-P, suspectedTHC 5 Road trip desert stardust mushroom gummies, suspected Psilocybin ***Analysis forCDS and purity*** s",Edible,,,703
Entry-703-418,"4 Modus Platnium blend diamond sauce CB9A + THC-P, suspectedTHC 5 Road trip desert stardust mushroom gummies, suspected Psilocybin ***Analysis forCDS and purity*** s T",Edible,,,703
Entry-703-419,"5 Road trip desert stardust mushroom gummies, suspected Psilocybin ***Analysis forCDS and purity*** s T t",Edible,,,703
Entry-704-420,V Brownbox.containing297assortedTHCedibles o E O Yes 0 Yes 181 No [81 No lt'\'1 ApproximateWeight=617.22grams,Edible,617.22,,704
Entry-704-421,s flower o E 0 Yes 0Yes -·······-·······---------·--············----------------·--·-····-- ?No ?No ?1 ApproximateWeight= 192.4 \,Likely Cannabis,,,704
Entry-704-422,"""mushroom""gummies o E O Yes 0Yes ····················--·····························---------------- fgl o ? l\o L(4À ApproximateWeight=507grams 7 E O Yes 0Yes",Edible,507.0,,704
Entry-712-423,"• 2918.3 gramsTHC • 616.6grams Psilocybin This report is in reference to a search and seizure warrant that was conducted atTobacco Town, located at",Likely Cannabis,616.6,,712
Entry-712-424,"THC and Psilocybin products illegally in Harford County, Maryland. I",Likely Cannabis,,,712
Entry-713-425,"TobaccoTown had a vast array ofTHC andpsilocybin products throughoutthe business to include pre rolled suspected marihuana ""blunts"", ""suspectedTHCgummies"", ""suspected THC vapes"", suspected loose marihuana, and suspectedpsilocybin. Page 2 713",Edible,,,713
Entry-713-426,"rolled suspected marihuana ""blunts"", ""suspectedTHCgummies"", ""suspected THC vapes"", suspected loose marihuana, and suspectedpsilocybin. Page 2 713",Edible,,,713
Entry-713-427,"marihuana, and suspectedpsilocybin. Page 2 713",Likely Cannabis,,,713
Entry-715-428,• 2918.3gramsTHC • 616.6grams Psilocybin,Likely Cannabis,616.6,,715
Entry-722-429,"1 Don't panic, it's organic cannibis flower, suspected marihuana 2 Muffins pre-roll vanilla bean dream, suspected marihuana 3 THC-O Gummies 2 pack, suspected THC 4 Modus Platnium blend diamond sauce CB9A + THC-P, suspected THC 5 Road trip desert stardust mushroom gummies, suspected Psilocybin",Edible,,,722
Entry-722-430,"2 Muffins pre-roll vanilla bean dream, suspected marihuana 3 THC-O Gummies 2 pack, suspected THC 4 Modus Platnium blend diamond sauce CB9A + THC-P, suspected THC 5 Road trip desert stardust mushroom gummies, suspected Psilocybin ***Analysis for CDS and purity***",Edible,,,722
Entry-722-431,"3 THC-O Gummies 2 pack, suspected THC 4 Modus Platnium blend diamond sauce CB9A + THC-P, suspected THC 5 Road trip desert stardust mushroom gummies, suspected Psilocybin ***Analysis for CDS and purity***",Edible,,,722
Entry-722-432,"4 Modus Platnium blend diamond sauce CB9A + THC-P, suspected THC 5 Road trip desert stardust mushroom gummies, suspected Psilocybin ***Analysis for CDS and purity***",Edible,,,722
Entry-722-433,"5 Road trip desert stardust mushroom gummies, suspected Psilocybin ***Analysis for CDS and purity***",Edible,,,722
Entry-723-434,"Brownboxcontaining297as ortedTHCedibles o E 0 Yes Oves f2]No f2]No ""f'\7 ApproximateWeight=617.22grams",Edible,617.22,,723
Entry-727-435,"1 Bag containing 3 prerolled cigarettes suspected Cannabis L \J ' ) -? ,i -? 2 Bag containing suspected THC gummies 7; -=l 1 \.I 3 bag containing package of suspected Psllccybln gummies ,;} -::.} 1 ') 317(¡ 4 bag containing suspected waxtype THC",Concentrate,,,727
Entry-727-436,"2 Bag containing suspected THC gummies 7; -=l 1 \.I 3 bag containing package of suspected Psllccybln gummies ,;} -::.} 1 ') 317(¡ 4 bag containing suspected waxtype THC 5 bag containing suspected cannabis ti v 1 .)- -· /) l ') -·+",Concentrate,,,727
Entry-727-437,"3 bag containing package of suspected Psllccybln gummies ,;} -::.} 1 ') 317(¡ 4 bag containing suspected waxtype THC 5 bag containing suspected cannabis ti v 1 .)- -· /) l ') -·+",Concentrate,,,727
Entry-727-438,4 bag containing suspected waxtype THC 5 bag containing suspected cannabis ti v 1 .)- -· /) l ') -·+,Concentrate,,,727
Entry-727-439,5 bag containing suspected cannabis ti v 1 .)- -· /) l ') -·+,Likely Cannabis,,,727
Entry-731-440,"1 Zip-lock bag with a plastic bag containing suspected Psilocybin gummies /. )/ )(7 l 11 2 Zip-Lock bag with suspected Cannabis v.:. 'k 7J 1 1, 3 Zip- Lock bag with a package containing suspected THC ediblesí ¡, I )v > . · J y 1? ,I",Edible,,,731
Entry-731-441,"11 2 Zip-Lock bag with suspected Cannabis v.:. 'k 7J 1 1, 3 Zip- Lock bag with a package containing suspected THC ediblesí ¡, I )v > . · J y 1? ,I ? 4 Zip-Lock bag with a box containing suspected THC vape cartridge,: 1, ),: )( J'( ' J .",Cartridge,,,731
Entry-731-442,"3 Zip- Lock bag with a package containing suspected THC ediblesí ¡, I )v > . · J y 1? ,I ? 4 Zip-Lock bag with a box containing suspected THC vape cartridge,: 1, ),: )( J'( ' J . 5 Zip-Lock bag with plastictube containing suspected Cannabis ¡ 'v \ I '",Cartridge,,,731
Entry-731-443,"? 4 Zip-Lock bag with a box containing suspected THC vape cartridge,: 1, ),: )( J'( ' J . 5 Zip-Lock bag with plastictube containing suspected Cannabis ¡ 'v \ I ' ;",Cartridge,,,731
Entry-731-444,5 Zip-Lock bag with plastictube containing suspected Cannabis ¡ 'v \ I ' ; / {,Likely Cannabis,,,731
is,. Each item is a sample of a larger batch per thattype of suspected CDS,Likely Cannabis,,,731
Entry-735-446,1 Ziploc bag containing suspected cannabis ?V- J.5omz..ß I? I 2 Ziploc bag containing a package of suspected Psilocybin gummies fV- 25'.UYLB\q 3 Zlploc bag containing three pre rolled suspected cannbis cigarettesfV-b(JJ..Jl'xiú 4 Ziploc bag containing suspected THC gummies fV ·,Edible,,,735
Entry-735-447,I 2 Ziploc bag containing a package of suspected Psilocybin gummies fV- 25'.UYLB\q 3 Zlploc bag containing three pre rolled suspected cannbis cigarettesfV-b(JJ..Jl'xiú 4 Ziploc bag containing suspected THC gummies fV · l5û..)<)·z.:73L\,Edible,,,735
Entry-735-448,3 Zlploc bag containing three pre rolled suspected cannbis cigarettesfV-b(JJ..Jl'xiú 4 Ziploc bag containing suspected THC gummies fV · l5û..)<)·z.:73L\,Edible,,,735
Entry-735-449,4 Ziploc bag containing suspected THC gummies fV · l5û..)<)·z.:73L\,Edible,,,735
Z56,5 Ziploc bag containing a package ofsuspected cannabis /;V - Z56..Y.J Z.<¡L L ' ',Likely Cannabis,,,735
Entry-739-451,"3 One (1)yellowzíploc baggie labeled ""Polaroid X Devour Cosmic Citrus"" gummies :)s&;3,",Edible,,,739
Entry-739-452,"4 One(1)pink/blue""flintstone""graphicboxlabeled""PolkaDot.mushroommagicblendbelgianchocolateFruityPebbles""",Edible,,,739
Entry-740-453,"1 One(1) yellowplasticpre-rolltubelabeled ""MunchiesJellyHole MangoTango""containingajointwithgreena",Preroll,,,740
Entry-740-454,"2 One(1)yeûíowplasticpre-rolltubelabeled""MunchiesJellyHolePinapplePoundcake"" containing ajointwithgreena",Preroll,,,740
Entry-740-455,"3 One (1) black/qreen plastic pre-roll tube labeled ""Yoda OG"" containing a joint",Preroll,,,740
Entry-740-456,"4 One(1)greengraphi?ab?led""PolkaDot,mushroommagicblend.belqlandarkchocolatemauicoconuttwist""",Edible,,,740
Entry-741-457,1 (1) One labeled manufactured cigarette containing plant-like material 2 (2) One labeled manufactured cigarette containing plant-like material 3 (3) One labeled manufactured cigarette containing plant-like material 4 (4) One labeled manufacturer-sealed multi-colored foil bag containing one brown ch,Flower,,,741
Entry-741-458,2 (2) One labeled manufactured cigarette containing plant-like material 3 (3) One labeled manufactured cigarette containing plant-like material 4 (4) One labeled manufacturer-sealed multi-colored foil bag containing one brown chocolate bar 5 (1) One labeled zipper-sealed multi-colored foil and color,Flower,,,741
Entry-741-459,3 (3) One labeled manufactured cigarette containing plant-like material 4 (4) One labeled manufacturer-sealed multi-colored foil bag containing one brown chocolate bar 5 (1) One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material,Flower,,,741
Entry-741-460,4 (4) One labeled manufacturer-sealed multi-colored foil bag containing one brown chocolate bar 5 (1) One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material 6 (2) One labeled zipper-sealed multi-colored foil and colorless plastic bag containing,Flower,,,741
Entry-741-461,chocolate bar 5 (1) One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material 6 (2) One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material,Flower,,,741
Entry-741-462,5 (1) One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material 6 (2) One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material 7 (3) One labeled manufacturer-sealed multi-colored foil bag containing eleven irreg,Flower,,,741
Entry-741-463,plant-like material 6 (2) One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material 7 (3) One labeled manufacturer-sealed multi-colored foil bag containing eleven irregularly- shaped orange gummy candies,Flower,,,741
Entry-741-464,6 (2) One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material 7 (3) One labeled manufacturer-sealed multi-colored foil bag containing eleven irregularly- shaped orange gummy candies 8 (4) One labeled manufacturer-sealed colorless plastic bag containing o,Flower,,,741
Entry-741-465,plant-like material 7 (3) One labeled manufacturer-sealed multi-colored foil bag containing eleven irregularly- shaped orange gummy candies 8 (4) One labeled manufacturer-sealed colorless plastic bag containing one labeled brown chocolate bar,Flower,,,741
Entry-741-466,7 (3) One labeled manufacturer-sealed multi-colored foil bag containing eleven irregularly- shaped orange gummy candies 8 (4) One labeled manufacturer-sealed colorless plastic bag containing one labeled brown chocolate bar Received Date Delivery Method Description Name/Airbill,Concentrate,,,741
Entry-741-467,shaped orange gummy candies 8 (4) One labeled manufacturer-sealed colorless plastic bag containing one labeled brown chocolate bar Received Date Delivery Method Description Name/Airbill 6/26/2025 FedEx 8822 9014 7625,Edible,,,741
Entry-741-468,chocolate bar Received Date Delivery Method Description Name/Airbill 6/26/2025 FedEx 8822 9014 7625 Results and Conclusions:,Edible,,,741
Entry-741-469,1 Cannabis Confirmed Total Delta-9-THC :i?: 1.00%byweight Weight 2.02 g (+/- 0.02 g) (net) 1 sample(s) tested,Likely Cannabis,2.02,,741
Entry-741-470,Total Delta-9-THC :i?: 1.00%byweight Weight 2.02 g (+/- 0.02 g) (net) 1 sample(s) tested,Likely Cannabis,2.02,,741
Entry-744-471,"*Total Delta-9-THC, Total THC, or Delta-9-THC + Delta-8-THC (as applicable) was not calculated because one or more of the component analytes was not present at or above the reporting limit, was not present within the calibration range, and/or was unable to be quantitated, as noted above. The contrib",Likely Cannabis,,,744
Entry-744-472,Total Delta-9-THC or Total THC (as applicable) from THCA corresponds to the reported THCA value multiplied by 0.88. Results reported with a backslash indicate compounds unable to be differentiated. NMS Labs does not offer testing to differentiate between these compounds. This report indicates the an,Likely Cannabis,,,744
Entry-745-473,1 1 One labeled manufactured cigarette containing plant-like material 2 2 One labeled manufactured cigarette containing plant-like material 3 3 One labeled manufactured cigarette containing,Flower,,,745
Entry-745-474,plant-like material 2 2 One labeled manufactured cigarette containing plant-like material 3 3 One labeled manufactured cigarette containing plant-like material,Flower,,,745
Entry-745-475,2 2 One labeled manufactured cigarette containing plant-like material 3 3 One labeled manufactured cigarette containing plant-like material 4 4 One labeled manufacturer-sealed multi-colored foil,Flower,,,745
Entry-745-476,plant-like material 3 3 One labeled manufactured cigarette containing plant-like material 4 4 One labeled manufacturer-sealed multi-colored foil bag containing one brown chocolate bar,Flower,,,745
Entry-745-477,3 3 One labeled manufactured cigarette containing plant-like material 4 4 One labeled manufacturer-sealed multi-colored foil bag containing one brown chocolate bar Date Released By Received By Purpose,Flower,,,745
Entry-745-478,"plant-like material 4 4 One labeled manufacturer-sealed multi-colored foil bag containing one brown chocolate bar Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Flower,,,745
Entry-745-479,"4 4 One labeled manufacturer-sealed multi-colored foil bag containing one brown chocolate bar Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Concentrate,,,745
Entry-745-480,"bag containing one brown chocolate bar Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Edible,,,745
Entry-746-481,"manufactured cigarette containing plant-like material Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Flower,,,746
Entry-746-482,"plant-like material Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Flower,,,746
Entry-746-483,"manufactured cigarette containing plant-like material Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Flower,,,746
Entry-746-484,"plant-like material Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Flower,,,746
Entry-747-485,"manufactured cigarette containing plant-like material Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Flower,,,747
Entry-747-486,"plant-like material Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Flower,,,747
Entry-748-487,"manufacturer-sealed multi-colored foil bag containing one brown chocolate bar Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Concentrate,,,748
Entry-748-488,"bag containing one brown chocolate bar Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Edible,,,748
Entry-749-489,5 1 One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material 6 2 One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material 7 3 One labeled manufacturer-sealed multi-colored foil,Flower,,,749
Entry-749-490,colorless plastic bag containing plant-like material 6 2 One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material 7 3 One labeled manufacturer-sealed multi-colored foil bag containing eleven irregularly-shaped orange,Flower,,,749
Entry-749-491,6 2 One labeled zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material 7 3 One labeled manufacturer-sealed multi-colored foil bag containing eleven irregularly-shaped orange gummy candies,Flower,,,749
Entry-749-492,colorless plastic bag containing plant-like material 7 3 One labeled manufacturer-sealed multi-colored foil bag containing eleven irregularly-shaped orange gummy candies 7.1 3 Edible,Flower,,,749
Entry-749-493,7 3 One labeled manufacturer-sealed multi-colored foil bag containing eleven irregularly-shaped orange gummy candies 7.1 3 Edible 7.2 3 Edible,Concentrate,,,749
Entry-749-494,gummy candies 7.1 3 Edible 7.2 3 Edible 7.3 3 Edible 8 4 One labeled manufacturer-sealed colorless plastic,Edible,,,749
Entry-749-495,7.1 3 Edible 7.2 3 Edible 7.3 3 Edible 8 4 One labeled manufacturer-sealed colorless plastic bag containing one labeled brown chocolate bar,Edible,,,749
Entry-749-496,7.2 3 Edible 7.3 3 Edible 8 4 One labeled manufacturer-sealed colorless plastic bag containing one labeled brown chocolate bar Date Released By Received By Purpose,Edible,,,749
Entry-749-497,"7.3 3 Edible 8 4 One labeled manufacturer-sealed colorless plastic bag containing one labeled brown chocolate bar Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Edible,,,749
Entry-749-498,"bag containing one labeled brown chocolate bar Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Edible,,,749
Entry-750-499,"zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Flower,,,750
Entry-750-500,"plant-like material Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Flower,,,750
Entry-751-501,"zipper-sealed multi-colored foil and colorless plastic bag containing plant-like material Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Flower,,,751
Entry-751-502,"plant-like material Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Flower,,,751
Entry-751-503,manufacturer-sealed multi-colored foil bag containing eleven irregularly-shaped orange gummy candies Date Released By Received By Purpose,Concentrate,,,751
Entry-751-504,"irregularly-shaped orange gummy candies Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Edible,,,751
Type,"Item Type:Exhibit: 7.1 - Edible Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Edible,,,752
Type,"Item Type:Exhibit: 7.2 - Edible Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Edible,,,753
Entry-754-508,"chocolate bar Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Edible,,,754
Type,"Item Type:Exhibit:7.3-Edible Date Released By Received By Purpose 07/18/2025 MELISTON (Melanie F. Liston, B.S., Central Receiving » Central Receiving » Transfer to Secure Location",Edible,,,754
